hotel_id,city,date,rooms_available,rooms_sold,occ,adr,room_revenue,minibar_units,minibar_rev,minibar_cogs,margin,treated,treat_date,share_new,direct_web_share,corporate_share
H001,Madrid,2024-03-01,118,71,"0,5978622923192214","131,52636086133379","9338,371621154698",81,"212,06367897510455","116,6350234363075","95,42865553879705",1,2024-06-15,0,"0,4442559410916354","0,1633325305930142"
H001,Madrid,2024-03-02,118,74,"0,6261273464012844","140,1057848863816","10367,828081592239",47,"209,30754237639428","115,11914830701686","94,18839406937742",1,2024-06-15,0,"0,4431287841634867","0,07355488612092217"
H001,Madrid,2024-03-03,118,81,"0,6871209666183717","137,4394900728991","11132,598695904828",66,"257,42876018950165","141,5858181042259","115,84294208527574",1,2024-06-15,0,"0,40347634697373547","0,1472511973711171"
H001,Madrid,2024-03-04,118,78,"0,6618582197083429","136,5005920023219","10647,046176181108",61,"208,36301626538958","114,59965894596426","93,76335731942531",1,2024-06-15,0,"0,3963388412737221","0,20205109107646196"
H001,Madrid,2024-03-05,118,73,"0,6178810381635494","143,71736877142314","10491,367920313889",48,"212,21275831690977","116,71701707430037","95,49574124",1,2024-06-15,0,"0,2660531227289184","0,09665973527696081"
H001,Madrid,2024-03-06,118,70,"0,5955094582228954","140,8481077366832","9859,367541567824",48,"193,68385213797265","106,52611867588496","87,15773346208769",1,2024-06-15,0,"0,39269774121649187","0,16004266958344293"
H001,Madrid,2024-03-07,118,68,"0,5786984016","143,76681007997513","9776,143085438309",68,"224,6206652025727","123,54136586141497","101,07929934115772",1,2024-06-15,0,"0,37800856","0,1309170019618538"
H001,Madrid,2024-03-08,118,73,"0,6227834947714311","146,1083500286784","10665,909552093523",58,"208,3446521379136","114,58955867585249","93,75509346206113",1,2024-06-15,0,"0,3441065315702859","0,18154390789460237"
H001,Madrid,2024-03-09,118,79,"0,6727000090220714","148,8370718831744","11758,128678770776",46,"201,03079862927348","110,5669392461004","90,46385938317307",1,2024-06-15,0,"0,37556789540150426","0,3635664220310993"
H001,Madrid,2024-03-10,118,80,"0,6816850804","149,3810871888455","11950,48697510764",65,"197,64862230885714","108,70674226987143","88,94188003898572",1,2024-06-15,0,"0,4968751187827736","0,2778624336789096"
H001,Madrid,2024-03-11,118,77,"0,6490168265070714","144,21738820623133","11104,738891879813",69,"216,42577195573313","119,03417457565321","97,39159738007992",1,2024-06-15,0,"0,4076437735192302","0,19816461243617373"
H001,Madrid,2024-03-12,118,75,"0,6335027998399406","152,44394438805924","11433,295829104443",44,"190,37812078009276","104,70796642905101","85,67015435104175",1,2024-06-15,0,"0,30979204672009947","0,17939398802087622"
H001,Madrid,2024-03-13,118,69,"0,5816634695833173","135,1417361980594","9324,779797666099",76,"199,93045974680223","109,96175286074123","89,96870689",1,2024-06-15,0,"0,20712597256913787","0,10329575744483813"
H001,Madrid,2024-03-14,118,68,"0,575046513","136,63315033208016","9291,054222581452",54,"187,12686946478706","102,91977820563288","84,20709125915418",1,2024-06-15,0,"0,37930774296664643","0,15626988013946444"
H001,Madrid,2024-03-15,118,78,"0,6603569028040336","137,7569063447551","10745,038694890898",77,"221,08251618484448","121,59538390166446","99,48713228318002",1,2024-06-15,0,"0,33201858865700334","0,21386572481945934"
H001,Madrid,2024-03-16,118,74,"0,6307317848505037","136,02899694752602","10066,145774116925",91,"259,64559331029346","142,80507632066139","116,84051698963206",1,2024-06-15,0,"0,3748961416110898","0,1689062013150907"
H001,Madrid,2024-03-17,118,79,"0,6689240842829562","136,3712279831523","10773,32701066903",84,"232,63340833122342","127,94837458217287","104,68503374905055",1,2024-06-15,0,"0,3626158975245626","0,2353143165587796"
H001,Madrid,2024-03-18,118,82,"0,6960567210313405","134,90219616934576","11061,980085886353",89,"285,8410732","157,21259024471274","128,62848292749223",1,2024-06-15,0,"0,3697464152795944","0,11155453429768532"
H001,Madrid,2024-03-19,118,73,"0,6161925353704305","130,27043530429947","9509,741777213861",66,"226,08946118904618","124,3492036539754","101,74025753507078",1,2024-06-15,0,"0,41172598618939565","0,18942639453818289"
H001,Madrid,2024-03-20,118,65,"0,5513375140816447","135,21496387560782","8788,972651914508",73,"214,36278845088376","117,89953364798606","96,4632548",1,2024-06-15,0,"0,41703823213015023","0,04728735243979118"
H001,Madrid,2024-03-21,118,69,"0,5859874037520001","132,82579379346453","9164,979771749053",60,"211,5713802132242","116,3642591172733","95,20712109595088",1,2024-06-15,0,"0,4537882679","0,22983067817117725"
H001,Madrid,2024-03-22,118,75,"0,6324363054174651","134,3121803968765","10073,413529765738",54,"202,4616786432884","111,35392325380862","91,10775538947978",1,2024-06-15,0,"0,32296353204761025","0,26474165209660705"
H001,Madrid,2024-03-23,118,77,"0,6565904543232617","134,39095042978832","10348,10318",58,"212,77436846543037","117,0259026559867","95,74846580944367",1,2024-06-15,0,"0,3910168046","0,21142207090734863"
